 ft_cal_cr_apd_h1_v12 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -160.65*mm, 7.65*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1, v:12 |
 ft_cal_cr_wrap_h1_v12 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h1_v12 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1, v:12 |
 ft_cal_cr_h1_v12 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h1_v12 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 1, iv: 12 | na | na | na | na | 1 | PbWO4 crystal h:1, v:12 |
 ft_cal_cr_ledHousing_h1_v12 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h1_v12 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:1, v:12 |
 ft_cal_cr_motherVolume_h1_v13 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -160.65*mm, 22.950000000000003*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:1, v:13 |
 ft_cal_cr_apd_h1_v13 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -160.65*mm, 22.950000000000003*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1, v:13 |
 ft_cal_cr_wrap_h1_v13 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h1_v13 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1, v:13 |
 ft_cal_cr_h1_v13 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h1_v13 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 1, iv: 13 | na | na | na | na | 1 | PbWO4 crystal h:1, v:13 |
 ft_cal_cr_ledHousing_h1_v13 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h1_v13 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:1, v:13 |
 ft_cal_cr_motherVolume_h1_v14 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -160.65*mm, 38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:1, v:14 |
