cr_wrap_h1_v12 | crVolume_h1_v12 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | A31EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1 v:12 |
cr_h1_v12 | cr_wrap_h1_v12 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | h: 1, v: 12 | na | na | na | na | 1 | PbWO4 crystal h:1 v:12 |
cr_led_h1_v12 | cr_wrap_h1_v12 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | G4_C | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led for crystal h:1 v:12 |
crVolume_h1_v13 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -160.65*mm, 22.950000000000003*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:1 v:13 |
crapd_h1_v13 | ft_calCrystalsMother | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | G4_C | -160.65*mm, 22.950000000000003*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1 v:13 |
cr_wrap_h1_v13 | crVolume_h1_v13 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | A31EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1 v:13 |
cr_h1_v13 | cr_wrap_h1_v13 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | h: 1, v: 13 | na | na | na | na | 1 | PbWO4 crystal h:1 v:13 |
cr_led_h1_v13 | cr_wrap_h1_v13 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | G4_C | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led for crystal h:1 v:13 |
crVolume_h1_v14 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -160.65*mm, 38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:1 v:14 |
crapd_h1_v14 | ft_calCrystalsMother | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | G4_C | -160.65*mm, 38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1 v:14 |
cr_wrap_h1_v14 | crVolume_h1_v14 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | A31EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1 v:14 |
cr_h1_v14 | cr_wrap_h1_v14 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | h: 1, v: 14 | na | na | na | na | 1 | PbWO4 crystal h:1 v:14 |
cr_led_h1_v14 | cr_wrap_h1_v14 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | G4_C | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led for crystal h:1 v:14 |
crVolume_h2_v6 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -145.35*mm, -84.15*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:2 v:6 |
